timestamp,title,Years of Experiences ,salary,salaryDate,companyCountry,worktype,workhour,city,currency
2025-07-16 05:21:22,Front End,2,20000,2025-06-30,Egyption and site in egypt,Remote,Full Time,Cairo,EGP
2025-07-16 05:53:52,Full Stack .Net | Angular,3,26000,2025-07-01,Egyption and site in egypt,Remote,Full Time,Cairo,EGP
2025-07-16 05:56:21,.Net Developsr,2,14000,2025-06-01,Egyption and site in egypt,Remote,Full Time,Cairo,EGP
2025-07-16 05:58:59,IT Specialist,0,10000,2025-05-01,Egyption and site in egypt,On Site,Full Time,Cairo,EGP
2025-07-16 05:59:28,Front end,1,40000,2025-07-16,Not Egyption but site in egypt,Hybrid,Full Time,Cairo,EGP
2025-07-16 06:10:38,Email Marketing,2,45000,2025-07-16,Not Egyption but site in egypt,On Site,Full Time,Cairo,EGP
2025-07-16 06:13:16,Email marketing,1,30000,2025-07-16,Not Egyption but site in egypt,On Site,Full Time,Cairo,EGP
2025-07-16 06:13:54,Gmail marketing,0,22000,2025-07-16,Not Egyption but site in egypt,On Site,Full Time,Cairo,EGP
2025-07-16 06:18:53,CRM Developer,3,40000,2025-01-01,Egyption and site in egypt,Hybrid,Full Time,Multi Site,EGP
2025-07-16 06:19:06,PHP developer,2,6000,2025-07-16,Egyption and site in egypt,Remote,Part Time,Cairo,EGP
2025-07-16 06:23:01,Flutter developer,3,35000,2025-01-01,Egyption and site in egypt,Remote,Full Time,Dubai,EGP
2025-07-16 06:41:56,Storage&Backup admin,3,25,2025-07-25,Egyption and site in egypt,On Site,Full Time,Cairo,EGP
2025-07-16 06:43:02,Senior front end engineer,6,75000,2025-03-01,Not Egyption but site in egypt,Hybrid,Full Time,Cairo,EGP
2025-07-16 06:44:30,Flutter Developer,2,14000,2025-07-16,Egyption and site in egypt,On Site,Full Time,Cairo,EGP
2025-07-16 06:54:20,Full stack. Net developer,4,60000,2025-07-24,Not Egyption but site in egypt,Remote,Full Time,Australia,EGP
2025-07-16 06:55:06,Software QC Engineer,1,700,2025-06-01,Not Egyption but site in egypt,Hybrid,Full Time,Alexandria,USD
2025-07-16 06:55:40,mid level frontend react,2,17000,2025-07-11,Egyption and site in egypt,On Site,Full Time,Cairo,EGP
2025-07-16 06:57:12,Embedded Software Engineer,2,43000,2025-07-01,Egyption and site in egypt,Remote,Full Time,Cairo,EGP
2025-07-16 07:00:24,Procurement Engineer,2,9175,2025-05-01,Egyption and site in egypt,On Site,Full Time,Alexandria,EGP
2025-07-16 07:00:41,Senior Dot net developer,5,60000,2025-01-01,Egyption and site in egypt,On Site,Full Time,Cairo,EGP
2025-07-16 07:04:28,Software engineer,3,30000,2025-04-01,Egyption and site in egypt,Remote,Full Time,Cairo,EGP
2025-07-16 07:06:15,Frontend Engineer,1,60000,2025-01-01,Else,Hybrid,Full Time,Cairo,EGP
2025-07-16 07:06:18,Frontend Engineer,1,60000,2025-01-01,Else,Hybrid,Full Time,Cairo,EGP
2025-07-16 07:06:20,Frontend Engineer,1,60000,2025-01-01,Else,Hybrid,Full Time,Cairo,EGP
2025-07-16 07:09:35,.net junior,1,1000,2025-01-03,Not Egyption but site in egypt,Remote,Full Time,Kuwait,USD
2025-07-16 07:16:59,Sw testing engineer,1,35000,2025-07-16,Not Egyption but site in egypt,Hybrid,Full Time,Cairo,EGP
